715 Broadway,80 Lafayette St.,Morton & Greenwich,715 Broadway Arrival
-,-,7:30 AM,7:45 AM
-,-,8:05 AM,8:20 AM
-,-,8:35 AM,8:50 AM
-,-,9:00 AM,9:15 AM
10:15 AM,-,10:30 AM,10:45 AM
11:45 AM,-,12:00 PM,12:15 PM
12:35 PM,-,12:50 PM,1:05 PM
2:45 PM,-,3:00 PM,3:15 PM
1:15 PM,-,1:30 PM,1:45 PM
4:10 PM,-,4:25 PM,4:40 PM
6:50 PM,-,7:05 PM,7:20 PM
9:00 PM,9:10 PM,9:25 PM,9:35 PM
10:15 PM,10:27 PM,10:42 PM,10:52 PM
